"Time (s)","X (hPa)"
8.842103322E2,1.008788300E3
8.852852572E2,1.008788757E3
8.863601742E2,1.008788300E3
8.874350682E2,1.008787613E3
8.885099902E2,1.008786163E3
8.895849302E2,1.008785172E3
8.906598842E2,1.008785095E3
8.917347942E2,1.008785095E3
8.928097322E2,1.008784561E3
8.938847012E2,1.008784561E3
8.949596322E2,1.008784561E3
8.960345222E2,1.008784866E3
8.971094212E2,1.008784866E3
8.981843482E2,1.008783264E3
8.992592482E2,1.008783264E3
9.003341872E2,1.008784027E3
9.014090842E2,1.008784027E3
9.024840352E2,1.008783722E3
9.035589902E2,1.008783722E3
9.046339172E2,1.008783722E3
9.057087962E2,1.008783188E3
9.067837302E2,1.008783188E3
9.078586442E2,1.008784027E3
9.089335952E2,1.008786392E3
9.100085922E2,1.008786392E3
9.110835272E2,1.008786240E3
9.121584372E2,1.008784714E3
9.132334232E2,1.008783417E3
9.143083882E2,1.008780975E3
9.153832722E2,1.008780136E3
9.164582242E2,1.008780136E3
9.175331302E2,1.008781128E3
9.186080752E2,1.008781738E3
9.196830652E2,1.008781738E3
9.207579952E2,1.008782425E3
9.218328872E2,1.008783875E3
9.229078212E2,1.008784332E3
9.239827782E2,1.008784485E3
9.250576962E2,1.008785172E3
